Time each stage,Exp code,time (hr),Gravel transport (g),Sand transport (g),Gravel Feed (g),Sand Feed (g),gravel rate(g/ms),gravel feed g/ms,sand out rate(g/ms),sand feed g/ms,gravel storage (feed-transport),san storage (feed-transport),cum gravelstorage,cum sandstorage,gravelfeedcum ,sand feed cum,,Cum Gravel transport ,Cum sand transport,feedgravel/feedsand,ratio gravel/sand 
121,A6,55,3903.00,643.84,3656.25,1218.75,8.673333333,8.13,1.430755556,2.71,-246.75,574.91,307900.00,21939.70,1.07,,,700250.00,42410.30,0.33,6.062065109
122,A6,55.25,8837.00,3150.30,3656.25,1218.75,19.63777778,8.13,7.000666667,2.71,-5180.75,-1931.55,302719.25,20008.15,2.42,,,709087.00,45560.60,0.33,2.80512967
123,A6,55.5,3350.00,1218.80,3656.25,1218.75,7.444444444,8.13,2.708444444,2.71,306.25,-0.05,303025.50,20008.10,0.92,,,712437.00,46779.40,0.33,2.748605185
124,A6,55.75,3850.00,1046.10,3656.25,1218.75,8.555555556,8.13,2.324666667,2.71,-193.75,172.65,302831.75,20180.75,1.05,,,716287.00,47825.50,0.33,3.680336488
125,A6,56,2264.00,792.11,3656.25,1218.75,5.031111111,8.13,1.760244444,2.71,1392.25,426.64,304224.00,20607.39,0.62,,,718551.00,48617.61,0.33,2.858188888
126,A7,56.25,2799.00,727.05,3412.50,1462.50,6.22,7.58,1.615666667,3.25,613.50,735.45,304837.50,21342.84,0.82,,,721350.00,49344.66,0.43,3.849804002
127,A7,56.5,4211.00,995.72,3412.50,1462.50,9.357777778,7.58,2.212711111,3.25,-798.50,466.78,304039.00,21809.62,1.23,,,725561.00,50340.38,0.43,4.22910055
128,A7,56.75,3367.00,1146.90,3412.50,1462.50,7.482222222,7.58,2.548666667,3.25,45.50,315.60,304084.50,22125.22,0.99,,,728928.00,51487.28,0.43,2.93573982
129,A7,57,4050.00,1087.50,3412.50,1462.50,9,7.58,2.416666667,3.25,-637.50,375.00,303447.00,22500.22,1.19,,,732978.00,52574.78,0.43,3.724137931
130,A7,57.25,3213.00,1347.70,3412.50,1462.50,7.14,7.58,2.994888889,3.25,199.50,114.80,303646.50,22615.02,0.94,,,736191.00,53922.48,0.43,2.384061735
131,A7,57.5,1846.00,845.68,3412.50,1462.50,4.102222222,7.58,1.879288889,3.25,1566.50,616.82,305213.00,23231.84,0.54,,,738037.00,54768.16,0.43,2.182858765
132,A7,57.75,1055.00,284.10,3412.50,1462.50,2.344444444,7.58,0.631333333,3.25,2357.50,1178.40,307570.50,24410.24,0.31,,,739092.00,55052.26,0.43,3.713481169
133,A7,58,2168.00,619.73,3412.50,1462.50,4.817777778,7.58,1.377177778,3.25,1244.50,842.77,308815.00,25253.01,0.64,,,741260.00,55671.99,0.43,3.498297646
134,A7,58.25,1735.00,409.33,3412.50,1462.50,3.855555556,7.58,0.909622222,3.25,1677.50,1053.17,310492.50,26306.18,0.51,,,742995.00,56081.32,0.43,4.238633865
135,A7,58.5,3375.00,908.95,3412.50,1462.50,7.5,7.58,2.019888889,3.25,37.50,553.55,310530.00,26859.73,0.99,,,746370.00,56990.27,0.43,3.713075527
136,A7,58.75,7170.00,2799.60,3412.50,1462.50,15.93333333,7.58,6.221333333,3.25,-3757.50,-1337.10,306772.50,25522.63,2.10,,,753540.00,59789.87,0.43,2.561080154
137,A7,59,2326.00,1496.50,3412.50,1462.50,5.168888889,7.58,3.325555556,3.25,1086.50,-34.00,307859.00,25488.63,0.68,,,755866.00,61286.37,0.43,1.554293351
138,A8,59.25,1539.00,570.83,3168.75,1706.25,3.42,7.04,1.268511111,3.79,1629.75,1135.42,309488.75,26624.05,0.49,,,757405.00,61857.20,0.54,2.696074138
139,A8,59.5,3490.00,1234.70,3168.75,1706.25,7.755555556,7.04,2.743777778,3.79,-321.25,471.55,309167.50,27095.60,1.10,,,760895.00,63091.90,0.54,2.826597554
140,A8,59.75,2685.00,1472.50,3168.75,1706.25,5.966666667,7.04,3.272222222,3.79,483.75,233.75,309651.25,27329.35,0.85,,,763580.00,64564.40,0.54,1.823429542
141,A8,60,3534.00,874.25,3168.75,1706.25,7.853333333,7.04,1.942777778,3.79,-365.25,832.00,309286.00,28161.35,1.12,,,767114.00,65438.65,0.54,4.04232199
142,A8,60.25,6632.00,2277.50,3168.75,1706.25,14.73777778,7.04,5.061111111,3.79,-3463.25,-571.25,305822.75,27590.10,2.09,,,773746.00,67716.15,0.54,2.911964874
143,A8,60.5,8912.00,3981.00,3168.75,1706.25,19.80444444,7.04,8.846666667,3.79,-5743.25,-2274.75,300079.50,25315.35,2.81,,,782658.00,71697.15,0.54,2.238633509
144,A8,60.75,3292.00,774.80,3168.75,1706.25,7.315555556,7.04,1.721777778,3.79,-123.25,931.45,299956.25,26246.80,1.04,,,785950.00,72471.95,0.54,4.24883841
145,A8,61,1607.00,834.58,3168.75,1706.25,3.571111111,7.04,1.854622222,3.79,1561.75,871.67,301518.00,27118.47,0.51,,,787557.00,73306.53,0.54,1.925519423
146,A9,61.25,6940.00,1074.07,2925.00,1950.00,15.42222222,6.50,2.386822222,4.33,-4015.00,875.93,297503.00,27994.40,2.37,,,794497.00,74380.60,0.67,6.461403819
147,A9,61.5,4851.00,1923.93,2925.00,1950.00,10.78,6.50,4.2754,4.33,-1926.00,26.07,295577.00,28020.47,1.66,,,799348.00,76304.53,0.67,2.521401506
148,A9,61.75,7093.00,3463.71,2925.00,1950.00,15.76222222,6.50,7.697133333,4.33,-4168.00,-1513.71,291409.00,26506.76,2.42,,,806441.00,79768.24,0.67,2.047804233
149,A9,62,3860.00,2053.53,2925.00,1950.00,8.577777778,6.50,4.5634,4.33,-935.00,-103.53,290474.00,26403.23,1.32,,,810301.00,81821.77,0.67,1.879690095
150,A9,62.25,4137.00,2097.10,2925.00,1950.00,9.193333333,6.50,4.660222222,4.33,-1212.00,-147.10,289262.00,26256.13,1.41,,,814438.00,83918.87,0.67,1.972724238
151,A9,62.5,2162.00,969.64,2925.00,1950.00,4.804444444,6.50,2.154755556,4.33,763.00,980.36,290025.00,27236.49,0.74,,,816600.00,84888.51,0.67,2.229693494
152,A9,62.75,5265.00,2457.49,2925.00,1950.00,11.7,6.50,5.461088889,4.33,-2340.00,-507.49,287685.00,26729.00,1.80,,,821865.00,87346.00,0.67,2.142429878
153,A9,63,3212.00,1799.02,2925.00,1950.00,7.137777778,6.50,3.997822222,4.33,-287.00,150.98,287398.00,26879.98,1.10,,,825077.00,89145.02,0.67,1.785416505
154,A10,63.25,5214.00,3022.97,2681.25,2193.75,11.58666667,5.96,6.717711111,4.88,-2532.75,-829.22,284865.25,26050.76,1.94,,,830291.00,92167.99,0.82,1.724793829
155,A10,63.5,1887.00,1064.50,2681.25,2193.75,4.193333333,5.96,2.365555556,4.88,794.25,1129.25,285659.50,27180.01,0.70,,,832178.00,93232.49,0.82,1.772663222
156,A10,63.75,3528.00,1566.87,2681.25,2193.75,7.84,5.96,3.481933333,4.88,-846.75,626.88,284812.75,27806.89,1.32,,,835706.00,94799.36,0.82,2.251622662
157,A10,64,6655.00,4350.80,2681.25,2193.75,14.78888889,5.96,9.668444444,4.88,-3973.75,-2157.05,280839.00,25649.84,2.48,,,842361.00,99150.16,0.82,1.529603751
158,A10,64.25,2796.00,1807.49,2681.25,2193.75,6.213333333,5.96,4.016644444,4.88,-114.75,386.26,280724.25,26036.10,1.04,,,845157.00,100957.65,0.82,1.546896525
159,A10,64.5,2581.00,1797.87,2681.25,2193.75,5.735555556,5.96,3.995266667,4.88,100.25,395.88,280824.50,26431.98,0.96,,,847738.00,102755.52,0.82,1.435587668
160,A10,64.75,2559.00,1453.10,2681.25,2193.75,5.686666667,5.96,3.229111111,4.88,122.25,740.65,280946.75,27172.63,0.95,,,850297.00,104208.62,0.82,1.761062556
161,A10,65,4399.00,3489.30,2681.25,2193.75,9.775555556,5.96,7.754,4.88,-1717.75,-1295.55,279229.00,25877.08,1.64,,,854696.00,107697.92,0.82,1.260711317
162,A11,65.25,1635.00,1143.40,2437.50,2437.50,3.633333333,5.42,2.540888889,5.42,802.50,1294.10,280031.50,27171.18,0.67,,,856331.00,108841.32,1.00,1.429945776
163,A11,65.5,3042.00,1958.58,2437.50,2437.50,6.76,5.42,4.3524,5.42,-604.50,478.92,279427.00,27650.10,1.25,,,859373.00,110799.90,1.00,1.553166069
164,A11,65.75,3575.00,2479.80,2437.50,2437.50,7.944444444,5.42,5.510666667,5.42,-1137.50,-42.30,278289.50,27607.80,1.47,,,862948.00,113279.70,1.00,1.44164852
165,A11,66,4541.00,2773.90,2437.50,2437.50,10.09111111,5.42,6.164222222,5.42,-2103.50,-336.40,276186.00,27271.40,1.86,,,867489.00,116053.60,1.00,1.637045315
166,A11,66.25,2998.00,2996.80,2437.50,2437.50,6.662222222,5.42,6.659555556,5.42,-560.50,-559.30,275625.50,26712.10,1.23,,,870487.00,119050.40,1.00,1.000400427
167,A11,66.5,1925.00,1412.02,2437.50,2437.50,4.277777778,5.42,3.137822222,5.42,512.50,1025.48,276138.00,27737.58,0.79,,,872412.00,120462.42,1.00,1.363295137
168,A11,66.75,3158.00,2163.00,2437.50,2437.50,7.017777778,5.42,4.806666667,5.42,-720.50,274.50,275417.50,28012.08,1.30,,,875570.00,122625.42,1.00,1.460009246
169,A11,67,3764.00,2977.40,2437.50,2437.50,8.364444444,5.42,6.616444444,5.42,-1326.50,-539.90,274091.00,27472.18,1.54,,,879334.00,125602.82,1.00,1.264190233
170,A12,67.25,1431.00,1379.00,2193.75,2681.25,3.18,4.88,3.064444444,5.96,762.75,1302.25,274853.75,28774.43,0.65,,,880765.00,126981.82,1.22,1.037708484
171,A12,67.5,3022.00,2755.50,2193.75,2681.25,6.715555556,4.88,6.123333333,5.96,-828.25,-74.25,274025.50,28700.18,1.38,,,883787.00,129737.32,1.22,1.09671566
172,A12,67.75,2758.00,2652.50,2193.75,2681.25,6.128888889,4.88,5.894444444,5.96,-564.25,28.75,273461.25,28728.93,1.26,,,886545.00,132389.82,1.22,1.039773798
173,A12,68,5221.00,3609.10,2193.75,2681.25,11.60222222,4.88,8.020222222,5.96,-3027.25,-927.85,270434.00,27801.08,2.38,,,891766.00,135998.92,1.22,1.446621041
174,A12,68.25,6330.00,4078.40,2193.75,2681.25,14.06666667,4.88,9.063111111,5.96,-4136.25,-1397.15,266297.75,26403.93,2.89,,,898096.00,140077.32,1.22,1.552079247
175,A12,68.5,557.00,496.22,2193.75,2681.25,1.237777778,4.88,1.102711111,5.96,1636.75,2185.03,267934.50,28588.96,0.25,,,898653.00,140573.54,1.22,1.122485994
176,A12,68.75,3149.00,2337.10,2193.75,2681.25,6.997777778,4.88,5.193555556,5.96,-955.25,344.15,266979.25,28933.11,1.44,,,901802.00,142910.64,1.22,1.347396346
177,A12,69,2530.00,2611.60,2193.75,2681.25,5.622222222,4.88,5.803555556,5.96,-336.25,69.65,266643.00,29002.76,1.15,,,904332.00,145522.24,1.22,0.968754786
178,A13,69.25,964.00,1725.40,1950.00,2925.00,2.142222222,4.33,3.834222222,6.50,986.00,1199.60,267629.00,30202.36,0.49,,,905296.00,147247.64,1.50,0.558711024
179,A13,69.5,1820.00,1943.50,1950.00,2925.00,4.044444444,4.33,4.318888889,6.50,130.00,981.50,267759.00,31183.86,0.93,,,907116.00,149191.14,1.50,0.936454849
180,A13,69.75,2212.00,2626.10,1950.00,2925.00,4.915555556,4.33,5.835777778,6.50,-262.00,298.90,267497.00,31482.76,1.13,,,909328.00,151817.24,1.50,0.842313697
181,A13,70,2036.00,2700.80,1950.00,2925.00,4.524444444,4.33,6.001777778,6.50,-86.00,224.20,267411.00,31706.96,1.04,,,911364.00,154518.04,1.50,0.753850711
182,A13,70.25,1558.00,2421.20,1950.00,2925.00,3.462222222,4.33,5.380444444,6.50,392.00,503.80,267803.00,32210.76,0.80,,,912922.00,156939.24,1.50,0.643482571
183,A13,70.5,1229.00,1517.40,1950.00,2925.00,2.731111111,4.33,3.372,6.50,721.00,1407.60,268524.00,33618.36,0.63,,,914151.00,158456.64,1.50,0.809938052
184,A13,70.75,2664.00,3502.21,1950.00,2925.00,5.92,4.33,7.782688889,6.50,-714.00,-577.21,267810.00,33041.15,1.37,,,916815.00,161958.85,1.50,0.760662553
185,A13,71,1347.00,2355.60,1950.00,2925.00,2.993333333,4.33,5.234666667,6.50,603.00,569.40,268413.00,33610.55,0.69,,,918162.00,164314.45,1.50,0.571828833
186,A13,71.25,2229.00,2890.00,1950.00,2925.00,4.953333333,4.33,6.422222222,6.50,-279.00,35.00,268134.00,33645.55,1.14,,,920391.00,167204.45,1.50,0.771280277
187,A13,71.5,1809.00,2438.00,1950.00,2925.00,4.02,4.33,5.417777778,6.50,141.00,487.00,268275.00,34132.55,0.93,,,922200.00,169642.45,1.50,0.742001641
188,A13,71.75,2597.00,3505.00,1950.00,2925.00,5.771111111,4.33,7.788888889,6.50,-647.00,-580.00,267628.00,33552.55,1.33,,,924797.00,173147.45,1.50,0.740941512
189,A13,72,1717.00,2262.00,1950.00,2925.00,3.815555556,4.33,5.026666667,6.50,233.00,663.00,267861.00,34215.55,0.88,,,926514.00,175409.45,1.50,0.759062776
190,A14,72.25,2258.00,3109.70,1706.25,3168.75,5.017777778,3.79,6.910444444,7.04,-551.75,59.05,267309.25,34274.60,1.32,,,928772.00,178519.15,1.86,0.726115059
191,A14,72.5,567.00,1950.00,1706.25,3168.75,1.26,3.79,4.333333333,7.04,1139.25,1218.75,268448.50,35493.35,0.33,,,929339.00,180469.15,1.86,0.290769231
192,A14,72.75,2206.00,2906.40,1706.25,3168.75,4.902222222,3.79,6.458666667,7.04,-499.75,262.35,267948.75,35755.70,1.29,,,931545.00,183375.55,1.86,0.759014588
193,A14,73,3217.00,4241.00,1706.25,3168.75,7.148888889,3.79,9.424444444,7.04,-1510.75,-1072.25,266438.00,34683.45,1.89,,,934762.00,187616.55,1.86,0.758547512
194,A14,73.25,3087.00,3752.90,1706.25,3168.75,6.86,3.79,8.339777778,7.04,-1380.75,-584.15,265057.25,34099.30,1.81,,,937849.00,191369.45,1.86,0.822563884
195,A14,73.5,3183.00,4218.80,1706.25,3168.75,7.073333333,3.79,9.375111111,7.04,-1476.75,-1050.05,263580.50,33049.25,1.87,,,941032.00,195588.25,1.86,0.754479947
196,A14,73.75,1729.00,2912.10,1706.25,3168.75,3.842222222,3.79,6.471333333,7.04,-22.75,256.65,263557.75,33305.90,1.01,,,942761.00,198500.35,1.86,0.593729611
197,A14,74,1575.00,2821.60,1706.25,3168.75,3.5,3.79,6.270222222,7.04,131.25,347.15,263689.00,33653.05,0.92,,,944336.00,201321.95,1.86,0.558193933
198,A15,74.25,1390.00,2317.50,1462.50,3412.50,3.088888889,3.25,5.15,7.58,72.50,1095.00,263761.50,34748.05,0.95,,,945726.00,203639.45,2.33,0.59978425
199,A15,74.5,2899.00,3762.40,1462.50,3412.50,6.442222222,3.25,8.360888889,7.58,-1436.50,-349.90,262325.00,34398.15,1.98,,,948625.00,207401.85,2.33,0.770518818
200,A15,74.75,2724.00,3587.90,1462.50,3412.50,6.053333333,3.25,7.973111111,7.58,-1261.50,-175.40,261063.50,34222.75,1.86,,,951349.00,210989.75,2.33,0.759218484
201,A15,75,3940.00,5115.80,1462.50,3412.50,8.755555556,3.25,11.36844444,7.58,-2477.50,-1703.30,258586.00,32519.45,2.69,,,955289.00,216105.55,2.33,0.770163024
202,A15,75.25,1424.00,3207.70,1462.50,3412.50,3.164444444,3.25,7.128222222,7.58,38.50,204.80,258624.50,32724.25,0.97,,,956713.00,219313.25,2.33,0.443931789
203,A15,75.5,1471.00,2797.90,1462.50,3412.50,3.268888889,3.25,6.217555556,7.58,-8.50,614.60,258616.00,33338.85,1.01,,,958184.00,222111.15,2.33,0.525751456
204,A15,75.75,2529.00,3841.70,1462.50,3412.50,5.62,3.25,8.537111111,7.58,-1066.50,-429.20,257549.50,32909.65,1.73,,,960713.00,225952.85,2.33,0.658302314
205,A15,76,1732.00,3662.70,1462.50,3412.50,3.848888889,3.25,8.139333333,7.58,-269.50,-250.20,257280.00,32659.45,1.18,,,962445.00,229615.55,2.33,0.472875201
206,A16,76.25,1828.00,3235.20,1218.75,3656.25,4.062222222,2.71,7.189333333,8.13,-609.25,421.05,256670.75,33080.50,1.50,,,964273.00,232850.75,3.00,0.565034619
207,A16,76.5,1707.00,3689.00,1218.75,3656.25,3.793333333,2.71,8.197777778,8.13,-488.25,-32.75,256182.50,33047.75,1.40,,,965980.00,236539.75,3.00,0.462727026
208,A16,76.75,1674.00,3268.30,1218.75,3656.25,3.72,2.71,7.262888889,8.13,-455.25,387.95,255727.25,33435.70,1.37,,,967654.00,239808.05,3.00,0.512192883
209,A16,77,2473.00,4639.80,1218.75,3656.25,5.495555556,2.71,10.31066667,8.13,-1254.25,-983.55,254473.00,32452.15,2.03,,,970127.00,244447.85,3.00,0.532997112
210,A16,77.25,1298.00,3082.50,1218.75,3656.25,2.884444444,2.71,6.85,8.13,-79.25,573.75,254393.75,33025.90,1.07,,,971425.00,247530.35,3.00,0.42108678
211,A16,77.5,1940.00,3932.70,1218.75,3656.25,4.311111111,2.71,8.739333333,8.13,-721.25,-276.45,253672.50,32749.45,1.59,,,973365.00,251463.05,3.00,0.493299769
212,A16,77.75,1903.00,3869.40,1218.75,3656.25,4.228888889,2.71,8.598666667,8.13,-684.25,-213.15,252988.25,32536.30,1.56,,,975268.00,255332.45,3.00,0.491807515
213,A16,78,1561.00,3940.50,1218.75,3656.25,3.468888889,2.71,8.756666667,8.13,-342.25,-284.25,252646.00,32252.05,1.28,,,976829.00,259272.95,3.00,0.396142621
214,A17,78.25,993.00,2647.90,975.00,3900.00,2.206666667,2.17,5.884222222,8.67,-18.00,1252.10,252628.00,33504.15,1.02,,,977822.00,261920.85,4.00,0.375014162
215,A17,78.5,2142.00,4096.10,975.00,3900.00,4.76,2.17,9.102444444,8.67,-1167.00,-196.10,251461.00,33308.05,2.20,,,979964.00,266016.95,4.00,0.522936452
216,A17,78.75,2605.00,4981.00,975.00,3900.00,5.788888889,2.17,11.06888889,8.67,-1630.00,-1081.00,249831.00,32227.05,2.67,,,982569.00,270997.95,4.00,0.522987352
217,A17,79,1644.00,4335.30,975.00,3900.00,3.653333333,2.17,9.634,8.67,-669.00,-435.30,249162.00,31791.75,1.69,,,984213.00,275333.25,4.00,0.379212511
218,A17,79.25,1205.00,2984.20,975.00,3900.00,2.677777778,2.17,6.631555556,8.67,-230.00,915.80,248932.00,32707.55,1.24,,,985418.00,278317.45,4.00,0.403793311
219,A17,79.5,2287.00,4650.60,975.00,3900.00,5.082222222,2.17,10.33466667,8.67,-1312.00,-750.60,247620.00,31956.95,2.35,,,987705.00,282968.05,4.00,0.491764504
220,A17,79.75,1868.00,4047.80,975.00,3900.00,4.151111111,2.17,8.995111111,8.67,-893.00,-147.80,246727.00,31809.15,1.92,,,989573.00,287015.85,4.00,0.461485251
221,A17,80,1474.00,3670.80,975.00,3900.00,3.275555556,2.17,8.157333333,8.67,-499.00,229.20,246228.00,32038.35,1.51,,,991047.00,290686.65,4.00,0.401547347
222,A18,80.25,1385.00,3347.50,731.25,4143.75,3.077777778,1.63,7.438888889,9.21,-653.75,796.25,245574.25,32834.60,1.89,,,992432.00,294034.15,5.67,0.413741598
223,A18,80.5,2221.00,4546.80,731.25,4143.75,4.935555556,1.63,10.104,9.21,-1489.75,-403.05,244084.50,32431.55,3.04,,,994653.00,298580.95,5.67,0.488475411
224,A18,80.75,2459.00,5198.90,731.25,4143.75,5.464444444,1.63,11.55311111,9.21,-1727.75,-1055.15,242356.75,31376.40,3.36,,,997112.00,303779.85,5.67,0.47298467
225,A18,81,1468.00,4073.10,731.25,4143.75,3.262222222,1.63,9.051333333,9.21,-736.75,70.65,241620.00,31447.05,2.01,,,998580.00,307852.95,5.67,0.360413444
226,A18,81.25,920.00,2879.80,731.25,4143.75,2.044444444,1.63,6.399555556,9.21,-188.75,1263.95,241431.25,32711.00,1.26,,,999500.00,310732.75,5.67,0.31946663
227,A18,81.5,1735.00,3947.40,731.25,4143.75,3.855555556,1.63,8.772,9.21,-1003.75,196.35,240427.50,32907.35,2.37,,,1001235.00,314680.15,5.67,0.439529817
228,A18,81.75,2619.00,5652.80,731.25,4143.75,5.82,1.63,12.56177778,9.21,-1887.75,-1509.05,238539.75,31398.30,3.58,,,1003854.00,320332.95,5.67,0.463310218
229,A18,82,1364.00,4071.70,731.25,4143.75,3.031111111,1.63,9.048222222,9.21,-632.75,72.05,237907.00,31470.35,1.87,,,1005218.00,324404.65,5.67,0.334995211
230,A19,82.25,1208.00,3440.10,487.50,4387.50,2.684444444,1.08,7.644666667,9.75,-720.50,947.40,237186.50,32417.75,2.48,,,1006426.00,327844.75,9.00,0.351152583
231,A19,82.5,1775.00,4432.30,487.50,4387.50,3.944444444,1.08,9.849555556,9.75,-1287.50,-44.80,235899.00,32372.95,3.64,,,1008201.00,332277.05,9.00,0.400469282
232,A19,82.75,1521.00,4628.60,487.50,4387.50,3.38,1.08,10.28577778,9.75,-1033.50,-241.10,234865.50,32131.85,3.12,,,1009722.00,336905.65,9.00,0.328609083
233,A19,83,1432.00,4504.20,487.50,4387.50,3.182222222,1.08,10.00933333,9.75,-944.50,-116.70,233921.00,32015.15,2.94,,,1011154.00,341409.85,9.00,0.317925492
234,A19,83.25,1037.00,3722.60,487.50,4387.50,2.304444444,1.08,8.272444444,9.75,-549.50,664.90,233371.50,32680.05,2.13,,,1012191.00,345132.45,9.00,0.278568742
235,A19,83.5,1651.00,4504.90,487.50,4387.50,3.668888889,1.08,10.01088889,9.75,-1163.50,-117.40,232208.00,32562.65,3.39,,,1013842.00,349637.35,9.00,0.366489822
236,A19,83.75,1807.00,5243.00,487.50,4387.50,4.015555556,1.08,11.65111111,9.75,-1319.50,-855.50,230888.50,31707.15,3.71,,,1015649.00,354880.35,9.00,0.34465001
237,A19,84,1108.00,3834.80,487.50,4387.50,2.462222222,1.08,8.521777778,9.75,-620.50,552.70,230268.00,32259.85,2.27,,,1016757.00,358715.15,9.00,0.28893293
238,A20,84.25,1566.00,4863.80,243.75,4631.25,3.48,0.54,10.80844444,10.29,-1322.25,-232.55,228945.75,32027.30,6.42,,,1018323.00,363578.95,19.00,0.321970476
239,A20,84.5,1470.00,5355.10,243.75,4631.25,3.266666667,0.54,11.90022222,10.29,-1226.25,-723.85,227719.50,31303.45,6.03,,,1019793.00,368934.05,19.00,0.274504678
240,A20,84.75,1309.00,4910.20,243.75,4631.25,2.908888889,0.54,10.91155556,10.29,-1065.25,-278.95,226654.25,31024.50,5.37,,,1021102.00,373844.25,19.00,0.266587919
241,A20,85,888.00,4014.60,243.75,4631.25,1.973333333,0.54,8.921333333,10.29,-644.25,616.65,226010.00,31641.15,3.64,,,1021990.00,377858.85,19.00,0.221192647
242,A20,85.25,665.14,3304.40,243.75,4631.25,1.478088889,0.54,7.343111111,10.29,-421.39,1326.85,225588.61,32968.00,2.73,,,1022655.14,381163.25,19.00,0.20128919
243,A20,85.5,1020.00,4153.40,243.75,4631.25,2.266666667,0.54,9.229777778,10.29,-776.25,477.85,224812.36,33445.85,4.18,,,1023675.14,385316.65,19.00,0.245581933
244,A20,85.75,1226.00,5041.90,243.75,4631.25,2.724444444,0.54,11.20422222,10.29,-982.25,-410.65,223830.11,33035.20,5.03,,,1024901.14,390358.55,19.00,0.2431623
245,A20,86,1292.00,4963.60,243.75,4631.25,2.871111111,0.54,11.03022222,10.29,-1048.25,-332.35,222781.86,32702.85,5.30,,,1026193.14,395322.15,19.00,0.260294947
246,A21,86.25,1217.00,4352.90,0.00,4875.00,2.704444444,0.00,9.673111111,10.83,-1217.00,522.10,221564.86,33224.95,,,,1027410.14,399675.05,,0.279583726
247,A21,86.5,1323.00,5569.40,0.00,4875.00,2.94,0.00,12.37644444,10.83,-1323.00,-694.40,220241.86,32530.55,,,,1028733.14,405244.45,,0.23754803
248,A21,86.75,1302.00,5661.90,0.00,4875.00,2.893333333,0.00,12.582,10.83,-1302.00,-786.90,218939.86,31743.65,,,,1030035.14,410906.35,,0.229958141
249,A21,87,958.00,5283.50,0.00,4875.00,2.128888889,0.00,11.74111111,10.83,-958.00,-408.50,217981.86,31335.15,,,,1030993.14,416189.85,,0.181319201
250,A21,87.25,735.00,3631.90,0.00,4875.00,1.633333333,0.00,8.070888889,10.83,-735.00,1243.10,217246.86,32578.25,,,,1031728.14,419821.75,,0.202373413
251,A21,87.5,1234.00,5780.10,0.00,4875.00,2.742222222,0.00,12.84466667,10.83,-1234.00,-905.10,216012.86,31673.15,,,,1032962.14,425601.85,,0.213491116
252,A21,87.75,1063.00,5453.20,0.00,4875.00,2.362222222,0.00,12.11822222,10.83,-1063.00,-578.20,214949.86,31094.95,,,,1034025.14,431055.05,,0.194931416
253,A21,88,804.00,4880.30,0.00,4875.00,1.786666667,0.00,10.84511111,10.83,-804.00,-5.30,214145.86,31089.65,,,,1034829.14,435935.35,,0.164743971
,,,,,,,,,,,,,,,,,,,,,